"","HeartDiseaseorAttack","HighBP","HighChol","CholCheck","Smoker","Stroke","Diabetes","PhysActivity","Fruits","Veggies","HvyAlcoholConsump","AnyHealthcare","NoDocbcCost","GenHlth","MentHlth","PhysHlth","DiffWalk","Sex","Age","Education","Income","BMI_cat"
"HvyAlcoholConsump",0.31164199848816,0.683023439041733,0.681520359967612,0.159117748270123,0.681522673059536,0.169592598977186,0.490110259280108,0.554952995162646,0.656042421171563,0.483925088146751,0,0.195352294249879,0.288843385260428,1.43948756043,1.37555573677623,1.57231091413606,0.452274213862641,0.685995632146502,2.45728149748512,1.25804802573766,1.82304620223947,1.14216017398616
"AnyHealthcare",0.311926073159425,0.682277872414176,0.680673697064114,0.155003987046157,0.686404815273605,0.169713014845708,0.492010570535502,0.554433163813338,0.656164612665396,0.483745055601981,0.21631981910042,0,0.272287926521582,1.43919259429792,1.37472101430572,1.57268497468002,0.453033049880402,0.685824791198913,2.44589293165543,1.25125199561026,1.81211230425232,1.14325441624877
"NoDocbcCost",0.311671443226553,0.682881356689673,0.681499057411303,0.157998013313971,0.685484264425702,0.169225425268525,0.491431355019046,0.553247135411759,0.655693315441136,0.483661897926996,0.216361209717926,0.178838226128541,0,1.42683681917965,1.35996754537932,1.56110964640877,0.447060500476145,0.684988012818781,2.44870537855147,1.25282956383112,1.80482807348231,1.14191033303411
"GenHlth",0.279970382215303,0.635247522105512,0.659143811641448,0.158227466869635,0.673223623536817,0.154830534765587,0.445085946127522,0.51972892068158,0.65100985779249,0.476573110721912,0.215594855975224,0.194332364992601,0.275426290267372,0,1.32816939897646,1.40678681359297,0.345552518814802,0.685763885340169,2.44475701945542,1.21492282481961,1.74964654086914,1.10880868937092
"MentHlth",0.309817945360363,0.680422650363907,0.67955057995059,0.15923951756062,0.6820855822094,0.167623758653791,0.489068518056641,0.547218839702305,0.654032442171426,0.482365168016525,0.215774329591657,0.193972082270616,0.272668313737249,1.39228069624667,0,1.49617964142623,0.430073697607051,0.678412604296275,2.44115979821681,1.25047732917514,1.80327277211769,1.13965572458507
"PhysHlth",0.297741347886781,0.668426474119865,0.673074463766891,0.158701299797354,0.679454344611262,0.16085282793119,0.47723087909959,0.533142631844115,0.655462746008954,0.482058207116161,0.215869732432989,0.195276268126413,0.277150640248196,1.27423833634468,1.2995198669077,0,0.356750548549535,0.682926485559138,2.44815394147013,1.24375075671567,1.78826903810566,1.13548882912124
"DiffWalk",0.293991533249125,0.658103450739402,0.671243223029851,0.158412905348843,0.67922087697413,0.158012197925386,0.470910942632251,0.526439785610854,0.655499138004048,0.481120201530352,0.21558767449547,0.195378985662693,0.282856136651478,1.33275868390241,1.35316856542445,1.47650519088544,0,0.68350700525219,2.43432606554533,1.23969696535428,1.77609437111332,1.12873250434722
"Sex",0.308440768294716,0.68166948564844,0.681100700709356,0.159122548325968,0.682287700733635,0.169749520597541,0.491661105118236,0.554501906645742,0.652504455517356,0.482072277707793,0.216355538821526,0.195217173023396,0.287830095036311,1.44001649646997,1.36855391815586,1.56972757393724,0.450553451294383,0,2.45748663489842,1.25751172460141,1.8162456269322,1.13454929582292
"Age",0.283663759169556,0.61834401395765,0.637311251188697,0.154481577916561,0.676634257437337,0.160662549415274,0.470066640209524,0.550159309549962,0.652720724563515,0.483803661276372,0.215311800747036,0.182955710066807,0.279217857355892,1.42668002717211,1.3589715086633,1.56262542643513,0.429042908174416,0.685157031485314,0,1.24633877634859,1.78691748616839,1.13349825569349
"Education",0.307281200736309,0.672787003455662,0.679080666412093,0.159279987858181,0.670258873098996,0.16692389365252,0.483571638375368,0.534789000876163,0.649949420417762,0.472135923124476,0.215983256992189,0.188219702014251,0.283246970628154,1.39675076052892,1.36819396761423,1.55812716967326,0.434318735975973,0.685087049180913,2.4462437043412,0,1.7084165170094,1.13553760301336
"Income",0.3019640576171,0.666734741124886,0.67756119824716,0.159220166919289,0.677621218695686,0.161929004671288,0.477073149666152,0.534493310363557,0.653398306425213,0.472897705677436,0.214768196552514,0.182866773714828,0.269032243337863,1.36526123963696,1.35477617361529,1.53643221412178,0.404502904793532,0.67760771457022,2.42060917721951,1.14220328006791,0,1.13763775110702
"BMI_cat",0.310096715879835,0.656313820737205,0.672194555075444,0.15862930908969,0.686177793480486,0.169373885866417,0.467911301503486,0.545282392655761,0.652415811445945,0.482002656972549,0.215160730041969,0.19528744745404,0.28739306463242,1.40570194988151,1.37243768782545,1.56493056688012,0.438419599770203,0.677189945203708,2.44846850848738,1.25060292781464,1.81891631284978,0
